,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,Maafkan Aku #terlanjurmencinta,Maafkan Aku #terlanjurmencinta,Tiara Andini,2020-06-26,224000,77,0.73,0.485,0.423,0.0,0.246,-8.385,0.0373,137.353,4,0.132
1,How You Like That,How You Like That,BLACKPINK,2020-06-26,181263,89,0.0694,0.828,0.782,3.41e-05,0.0544,-4.014,0.0918,130.013,4,0.351
2,Stuck with U (with Justin Bieber),Stuck with U,Ariana Grande,2020-05-08,228482,93,0.223,0.597,0.45,0.0,0.382,-6.658,0.0418,178.765,3,0.537
3,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2019-11-22,215106,84,0.604,0.459,0.575,0.0,0.0885,-4.858,0.0573,111.881,4,0.183
4,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,91,0.751,0.501,0.405,0.0,0.105,-5.679,0.0319,109.891,4,0.446
5,Tak Sanggup Melupa #terlanjurmencinta,Tak Sanggup Melupa #terlanjurmencinta,Ziva Magnolya,2020-06-26,224000,74,0.814,0.522,0.408,0.0,0.0934,-8.099,0.0519,137.286,4,0.205
6,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),Jawsh 685,2020-06-11,171374,96,0.234,0.767,0.481,0.0,0.269,-8.52,0.0803,150.076,4,0.761
7,LATHI (ꦭꦛꦶ),LATHI (ꦭꦛꦶ),Weird Genius,2020-02-28,188900,76,0.0857,0.58,0.898,0.000254,0.478,-1.928,0.0349,150.018,4,0.213
8,Perlahan,Perlahan,Guyon Waton,2020-02-03,300000,73,0.675,0.659,0.537,3.92e-05,0.3,-9.644,0.0343,127.962,4,0.398
9,Mengapa Kita #terlanjurmencinta,Mengapa Kita #terlanjurmencinta,Lyodra,2020-06-26,232000,72,0.744,0.329,0.407,0.0,0.0887,-8.858,0.0406,133.842,4,0.244
10,Bentuk Cinta,Cerita,Eclat Story,2019-12-13,263903,73,0.585,0.73,0.328,0.0,0.135,-9.542,0.0323,110.11,4,0.503
11,Play Date,Cry Baby (Deluxe Edition),Melanie Martinez,2015-08-14,179867,90,0.612,0.68,0.729,0.0,0.224,-5.077,0.0475,123.97,4,0.446
12,Ekspektasi,Ekspektasi,Okin,2020-05-15,220573,73,0.219,0.587,0.662,0.000835,0.123,-8.79,0.0262,111.972,4,0.784
13,Pura Pura Lupa,Pura Pura Lupa,Mahen,2019-12-06,246964,73,0.757,0.529,0.446,0.000764,0.146,-9.167,0.0294,111.903,4,0.14
14,Mariposa,Mariposa,Peach Tree Rascals,2019-08-28,210000,86,0.617,0.676,0.525,0.0,0.356,-5.88,0.028,112.011,4,0.421
15,Luka Yang Kurindu,Luka Yang Kurindu,Mahen,2020-06-15,214000,73,0.884,0.509,0.283,0.0014,0.0897,-12.236,0.0331,127.943,4,0.227
16,Surrender,Surrender,Natalie Taylor,2019-10-29,183103,84,0.8,0.39,0.448,0.182,0.107,-8.57,0.0276,144.89,5,0.077
17,death bed (coffee for your head),death bed (coffee for your head),Powfu,2020-02-08,173333,95,0.731,0.726,0.431,0.0,0.696,-8.765,0.135,144.026,4,0.348
18,cardigan,folklore,Taylor Swift,2020-07-24,239560,91,0.537,0.613,0.581,0.000345,0.25,-8.588,0.0424,130.033,4,0.551
19,Intentions (feat. Quavo),Changes,Justin Bieber,2020-02-14,212866,87,0.3,0.806,0.546,0.0,0.102,-6.637,0.0575,147.986,4,0.874
20,Maria,Maria,Hwa Sa,2020-06-30,199026,55,0.238,0.667,0.745,2.06e-06,0.255,-2.96,0.0621,128.972,4,0.482
21,Secukupnya,Menari Dengan Bayangan,Hindia,2019-11-29,205466,72,0.19,0.731,0.796,0.0606,0.354,-5.098,0.0344,102.006,4,0.933
22,Monolog,Walk The Talk,Pamungkas,2018-07-15,207216,71,0.108,0.476,0.578,0.558,0.131,-9.252,0.0312,96.978,4,0.298
23,One Only,Walk The Talk,Pamungkas,2018-07-15,255492,73,0.219,0.25,0.519,3.18e-06,0.0869,-6.39,0.0314,144.63,4,0.113
24,my future,my future,Billie Eilish,2020-07-30,208155,85,0.795,0.444,0.309,0.132,0.352,-10.956,0.062,104.745,4,0.0875
25,Waktu Yang Salah,Tempat Aku Pulang,Fiersa Besari,2014-05-15,325946,72,0.788,0.665,0.276,0.0,0.099,-11.053,0.026,130.07,4,0.299
26,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan","Pelukku Untuk Pelikmu (OST Imperfect: Karier, Cinta, & Timbangan)",Fiersa Besari,2019-11-08,249503,71,0.127,0.531,0.825,0.0,0.195,-5.462,0.0432,125.043,4,0.247
27,exile (feat. Bon Iver),folklore,Taylor Swift,2020-07-24,285634,91,0.778,0.298,0.38,5.62e-05,0.11,-8.426,0.0287,75.602,4,0.152
28,What You Waiting For,What You Waiting For,SOMI,2020-07-22,175327,73,0.0164,0.765,0.688,0.0,0.112,-5.072,0.0731,121.901,4,0.794
29,Bad Liar,Bad Liar,Anna Hamilton,2018-12-14,248448,72,0.777,0.691,0.234,0.0,0.12,-6.441,0.0285,87.103,4,0.209
30,Kenangan Manis,Walk The Talk,Pamungkas,2018-07-15,207937,71,0.0511,0.604,0.678,0.00169,0.0945,-7.331,0.0304,139.974,4,0.721
31,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),Surf Mesa,2019-11-26,176546,94,0.0686,0.674,0.774,0.00188,0.393,-7.567,0.0892,112.05,4,0.33
32,Terlalu Cinta,Yang Terpilih,Rossa,2006-12-26,248133,71,0.815,0.4,0.406,1.88e-06,0.108,-5.668,0.035,118.892,3,0.377
33,Make You Mine,Make You Mine,PUBLIC,2019-08-09,232906,84,0.0128,0.606,0.799,0.0,0.15,-4.452,0.0261,103.014,4,0.638
34,Sedang Sayang Sayangnya,Sedang Sayang Sayangnya,Mawar De Jongh,2020-03-06,261030,70,0.731,0.518,0.424,0.0,0.104,-8.531,0.0421,165.715,4,0.552
35,Lebih Dari Egoku,Lebih Dari Egoku,Mawar De Jongh,2019-09-13,249097,70,0.738,0.672,0.392,0.0,0.103,-7.72,0.0271,79.961,4,0.333
36,Love Story,Fearless,Taylor Swift,2008-01-01,236253,46,0.153,0.616,0.738,0.0,0.0769,-3.941,0.0311,118.994,4,0.3
37,I Love You but I'm Letting Go,Walk The Talk,Pamungkas,2018-07-15,220163,70,0.972,0.393,0.319,2.94e-05,0.111,-9.116,0.0303,79.628,4,0.131
38,Rumah Ke Rumah,Menari Dengan Bayangan,Hindia,2019-11-29,277457,69,0.456,0.72,0.786,0.616,0.186,-7.396,0.0319,116.032,4,0.488
39,"Alone, Pt. II","Alone, Pt. II",Alan Walker,2019-12-27,179052,82,0.536,0.67,0.668,0.0,0.133,-4.306,0.0422,88.033,4,0.608
40,Aku Yang Salah,Aku Yang Salah,Elmatu,2020-07-03,216655,63,0.0393,0.693,0.477,0.0503,0.109,-9.032,0.0381,120.023,4,0.279
41,Memories,Memories,Maroon 5,2019-09-20,189486,90,0.837,0.764,0.32,0.0,0.0822,-7.209,0.0546,91.019,4,0.575
42,12 Tahun Terindah,12 Tahun Terindah,Bunga Citra Lestari,2020-07-24,228707,60,0.965,0.328,0.242,1.13e-06,0.125,-10.567,0.0341,83.272,3,0.351
43,bitterlove,bitterlove,Ardhito Pramono,2018-08-17,216264,70,0.393,0.678,0.531,0.0016,0.125,-10.92,0.0384,149.393,4,0.574
44,Sunday Best,Where the Light Is,Surfaces,2019-01-06,158571,91,0.183,0.878,0.525,0.0,0.0714,-6.832,0.0578,112.022,4,0.694
45,Supalonely,STELLA & STEVE,BENEE,2019-11-15,223480,92,0.305,0.863,0.631,3.04e-05,0.123,-4.689,0.0534,128.977,4,0.817
46,Kala Cinta Menggoda,Kala Cinta Menggoda,Noah,2020-06-19,234744,69,0.288,0.522,0.447,0.0,0.0934,-10.045,0.0277,139.978,4,0.244
47,Kumau Dia,Cinta Luar Biasa,Andmesh,2019-11-22,256227,69,0.159,0.467,0.514,8.33e-06,0.316,-9.007,0.0274,157.869,4,0.599
48,eight(Prod.&Feat. SUGA of BTS),eight,IU,2020-05-06,167573,81,0.115,0.676,0.869,0.0,0.132,-1.573,0.0423,120.029,4,0.594
49,Tanpa Tergesa,Tanpa Tergesa,Juicy Luicy,2018-02-28,218405,69,0.303,0.703,0.291,0.0,0.113,-7.109,0.0277,96.058,4,0.449
