,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
39,Lonely Together (feat. Rita Ora),AVĪCI (01),Avicii,2017-08-09,181812,55,0.134,0.655,0.666,2.12e-05,0.0683,-5.309,0.0612,102.977,4,0.272
40,On Top Of The World,Night Visions,Imagine Dragons,2012-09-04,192280,73,0.0841,0.631,0.924,3.59e-06,0.084,-5.589,0.146,100.045,4,0.755
41,I Found You,Cardio music 2020,Various Artists,2020-06-12,191495,33,0.033,0.775,0.872,0.0564,0.298,-4.194,0.0469,122.985,4,0.379
42,We Found Love,Talk That Talk,Rihanna,2011-11-18,215226,74,0.025,0.734,0.766,0.00138,0.108,-4.485,0.0383,127.986,4,0.6
43,Electricity (with Dua Lipa),Electricity (with Dua Lipa),Silk City,2018-09-06,238173,77,0.0104,0.588,0.67,3.33e-06,0.338,-6.439,0.0473,118.159,4,0.505
44,HandClap,Fitz and The Tantrums,Fitz and The Tantrums,2016-06-10,193253,65,0.00609,0.636,0.836,0.000157,0.0828,-3.004,0.0427,139.956,4,0.715
45,Don't You Worry Child - Radio Edit,Don't You Worry Child,Swedish House Mafia,2012-09-14,212862,78,0.112,0.612,0.84,0.0,0.116,-3.145,0.0509,129.042,4,0.438
46,Get Lucky (feat. Pharrell Williams & Nile Rodgers),Random Access Memories,Daft Punk,2013-05-17,369626,72,0.0378,0.81,0.793,1.82e-06,0.072,-9.404,0.0403,116.049,4,0.863
47,Cool for the Summer,Confident (Deluxe Edition),Demi Lovato,2015-10-16,214739,65,0.00425,0.583,0.61,0.000105,0.14,-5.639,0.0382,114.06,4,0.336
48,Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,BTS,2019-04-12,229773,82,0.0923,0.645,0.862,0.0,0.192,-4.757,0.0965,119.991,4,0.798
49,Cheerleader - Felix Jaehn Remix Radio Edit,Me 4 U,OMI,2015-10-16,180565,77,0.166,0.782,0.685,1.18e-05,0.16,-6.237,0.0309,118.016,4,0.603
