,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),Jawsh 685,2020-06-11,171374,96,0.234,0.767,0.481,0.0,0.269,-8.52,0.0803,150.076,4,0.761
1,ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,2020-04-17,181733,100,0.247,0.746,0.69,0.0,0.101,-7.956,0.164,89.977,4,0.497
2,Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,99,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4,0.334
3,Watermelon Sugar,Fine Line,Harry Styles,2019-12-13,174000,96,0.122,0.548,0.816,0.0,0.335,-4.209,0.0465,95.39,4,0.557
4,my future,my future,Billie Eilish,2020-07-30,208155,85,0.795,0.444,0.309,0.132,0.352,-10.956,0.062,104.745,4,0.0875
5,Roses - Imanbek Remix,Roses (Imanbek Remix),SAINt JHN,2019-09-13,176218,0,0.0149,0.785,0.721,0.00432,0.285,-5.457,0.0506,121.962,4,0.894
6,cardigan,folklore,Taylor Swift,2020-07-24,239560,91,0.537,0.613,0.581,0.000345,0.25,-8.588,0.0424,130.033,4,0.551
7,Breaking Me,Breaking Me,Topic,2019-12-19,166793,95,0.223,0.789,0.72,0.0,0.129,-5.652,0.218,122.031,4,0.664
8,Come & Go (with Marshmello),Legends Never Die,Juice WRLD,2020-07-10,205484,93,0.0172,0.625,0.814,0.0,0.158,-5.181,0.0657,144.991,4,0.535
9,exile (feat. Bon Iver),folklore,Taylor Swift,2020-07-24,285634,91,0.778,0.298,0.38,5.62e-05,0.11,-8.426,0.0287,75.602,4,0.152
10,UN DIA (ONE DAY) (Feat. Tainy),UN DIA (ONE DAY) (Feat. Tainy),J Balvin,2020-07-24,232253,88,0.00536,0.571,0.693,0.0,0.173,-8.234,0.0545,168.169,4,0.393
11,Wishing Well,Legends Never Die,Juice WRLD,2020-07-10,194621,93,0.00336,0.65,0.613,0.0,0.267,-6.13,0.128,149.972,4,0.0804
12,death bed (coffee for your head),death bed (coffee for your head),Powfu,2020-02-08,173333,95,0.731,0.726,0.431,0.0,0.696,-8.765,0.135,144.026,4,0.348
13,La Jeepeta - Remix,Now Or Never,Nio Garcia,2020-07-24,345240,75,0.297,0.814,0.714,4.89e-06,0.091,-4.65,0.207,176.013,4,0.789
14,Dance Monkey,Dance Monkey,Tones And I,2019-05-10,209754,71,0.688,0.825,0.593,0.000161,0.17,-6.401,0.0988,98.078,4,0.54
15,Rain On Me (with Ariana Grande),Chromatica,Lady Gaga,2020-05-29,182200,87,0.021,0.672,0.855,0.0,0.323,-3.764,0.0397,123.056,4,0.646
16,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",Jack Harlow,2020-06-24,227478,92,0.0631,0.904,0.723,0.0,0.185,-5.224,0.26,145.013,4,0.835
17,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),Surf Mesa,2019-11-26,176546,94,0.0686,0.674,0.774,0.00188,0.393,-7.567,0.0892,112.05,4,0.33
18,Caramelo,Caramelo,Ozuna,2020-06-11,217546,92,0.0531,0.728,0.806,0.000301,0.153,-3.766,0.0623,168.084,4,0.698
19,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie","Agua (with J Balvin) [Music From ""Sponge On The Run"" Movie]",Tainy,2020-07-09,157944,90,0.162,0.76,0.658,0.0,0.195,-5.275,0.275,100.202,4,0.565
20,the 1,folklore,Taylor Swift,2020-07-24,210251,90,0.757,0.777,0.357,7.28e-06,0.108,-6.942,0.0522,139.883,4,0.172
21,Blueberry Faygo,Certified Hitmaker,Lil Mosey,2020-02-06,162546,88,0.207,0.774,0.554,0.0,0.132,-7.909,0.0383,99.034,4,0.349
22,Tattoo - Remix with Camilo,Tattoo (Remix with Camilo),Rauw Alejandro,2020-07-09,222680,90,0.0413,0.848,0.637,0.0,0.0521,-5.132,0.156,96.988,4,0.698
23,Relación,1 of 1,Sech,2020-05-21,184254,86,0.125,0.805,0.562,4.96e-06,0.148,-3.117,0.105,172.094,4,0.767
24,MAMACITA,Translation,Black Eyed Peas,2020-06-18,251428,66,0.19,0.88,0.626,0.000755,0.094,-7.062,0.0473,105.01,4,0.441
25,Break My Heart,Future Nostalgia,Dua Lipa,2020-03-27,221820,89,0.167,0.73,0.729,1.39e-06,0.349,-3.434,0.0883,113.013,4,0.467
26,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,91,0.751,0.501,0.405,0.0,0.105,-5.679,0.0319,109.891,4,0.446
27,Toosie Slide,Dark Lane Demo Tapes,Drake,2020-05-01,247058,86,0.289,0.83,0.49,3.04e-06,0.113,-8.82,0.209,81.604,4,0.845
28,Don't Start Now,Future Nostalgia,Dua Lipa,2020-03-27,183290,88,0.0123,0.793,0.793,0.0,0.0951,-4.521,0.083,123.95,4,0.679
29,The Woo (feat. 50 Cent & Roddy Ricch),Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,201600,91,0.0221,0.49,0.618,3.77e-06,0.259,-5.655,0.104,99.7,4,0.286
30,La Curiosidad,Platonicos,Jay Wheeler,2020-06-12,219048,90,0.269,0.845,0.677,0.000917,0.108,-4.798,0.136,90.013,4,0.68
31,POPSTAR (feat. Drake),POPSTAR (feat. Drake),DJ Khaled,2020-07-17,200221,90,0.057,0.8,0.56,0.0,0.134,-4.818,0.261,163.071,4,0.45
32,Party Girl,Fallin',StaySolidRocky,2020-07-15,147797,62,0.58,0.735,0.444,0.0,0.091,-9.476,0.0973,130.09,4,0.684
33,How You Like That,How You Like That,BLACKPINK,2020-06-26,181263,89,0.0694,0.828,0.782,3.41e-05,0.0544,-4.014,0.0918,130.013,4,0.351
34,Stuck with U (with Justin Bieber),Stuck with U,Ariana Grande,2020-05-08,228482,93,0.223,0.597,0.45,0.0,0.382,-6.658,0.0418,178.765,3,0.537
35,Mamichula - con Nicki Nicole,Atrevido,Trueno,2020-07-23,219201,85,0.582,0.696,0.678,2.22e-06,0.134,-5.893,0.0735,91.985,4,0.346
36,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),Joel Corry,2020-07-03,166028,87,0.168,0.734,0.874,1.14e-05,0.0489,-3.158,0.0662,122.953,4,0.905
37,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2019-11-22,215106,84,0.604,0.459,0.575,0.0,0.0885,-4.858,0.0573,111.881,4,0.183
38,TKN (feat. Travis Scott),TKN (feat. Travis Scott),ROSALÍA,2020-05-28,129370,92,0.192,0.776,0.509,1.49e-06,0.115,-6.266,0.467,94.634,4,0.485
39,Go Crazy,Slime & B,Chris Brown,2020-05-08,176960,90,0.316,0.755,0.578,0.0,0.25,-8.932,0.145,94.148,4,0.581
40,GREECE (feat. Drake),GREECE (feat. Drake),DJ Khaled,2020-07-16,218901,88,0.0743,0.695,0.343,1.04e-06,0.107,-10.798,0.0432,85.84,4,0.229
41,the last great american dynasty,folklore,Taylor Swift,2020-07-24,230999,88,0.467,0.686,0.662,0.0023,0.109,-8.505,0.0413,147.922,4,0.706
42,The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,2019-12-06,196652,92,0.104,0.896,0.586,0.0,0.79,-6.687,0.0559,116.971,4,0.642
43,For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,190476,90,0.114,0.823,0.586,0.0,0.193,-6.606,0.2,125.971,4,0.347
44,Djadja (feat. Maluma) - Remix,Djadja (feat. Maluma) [Remix],Aya Nakamura,2020-06-12,166850,89,0.175,0.791,0.682,0.0,0.0926,-7.328,0.158,98.031,4,0.672
45,august,folklore,Taylor Swift,2020-07-24,261922,87,0.538,0.532,0.623,7.28e-05,0.0925,-9.208,0.0331,89.937,4,0.403
46,my tears ricochet,folklore,Taylor Swift,2020-07-24,255893,88,0.806,0.456,0.263,0.0,0.0749,-10.63,0.0332,129.86,4,0.111
47,Supalonely,STELLA & STEVE,BENEE,2019-11-15,223480,92,0.305,0.863,0.631,3.04e-05,0.123,-4.689,0.0534,128.977,4,0.817
48,Kings & Queens,Kings & Queens,Ava Max,2020-03-12,162398,91,0.00775,0.638,0.688,0.0,0.126,-4.056,0.0407,129.856,4,0.434
49,Intentions (feat. Quavo),Changes,Justin Bieber,2020-02-14,212866,87,0.3,0.806,0.546,0.0,0.102,-6.637,0.0575,147.986,4,0.874
